Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Year
1,337,118,4,4.5,4.5,9.65,1,0.92,2022
2,324,107,4,4,4.5,8.87,1,0.76,2022
3,316,104,3,3,3.5,8,1,0.72,2022
4,322,110,3,3.5,2.5,8.67,1,0.8,2022
5,314,103,2,2,3,8.21,0,0.65,2022
6,330,115,5,4.5,3,9.34,1,0.9,2022
7,321,109,3,3,4,8.2,1,0.75,2022
8,308,101,2,3,4,7.9,0,0.68,2022
9,302,102,1,2,1.5,8,0,0.5,2022
10,323,108,3,3.5,3,8.6,0,0.45,2022
11,325,106,3,3.5,4,8.4,1,0.52,2022
12,327,111,4,4,4.5,9,1,0.84,2022
13,328,112,4,4,4.5,9.1,1,0.78,2022
14,307,109,3,4,3,8,1,0.62,2022
15,311,104,3,3.5,2,8.2,1,0.61,2022
16,314,105,3,3.5,2.5,8.3,0,0.54,2022
17,317,107,3,4,3,8.7,0,0.66,2022
18,319,106,3,4,3,8,1,0.65,2022
19,318,110,3,4,3,8.8,0,0.63,2022
20,303,102,3,3.5,3,8.5,0,0.62,2022
21,312,107,3,3,2,7.9,1,0.64,2022
22,325,114,4,3,2,8.4,0,0.7,2022
23,328,116,5,5,5,9.5,1,0.94,2022
24,334,119,5,5,4.5,9.7,1,0.95,2022
25,336,119,5,4,3.5,9.8,1,0.97,2022
26,340,120,5,4.5,4.5,9.6,1,0.94,2022
27,322,109,5,4.5,3.5,8.8,0,0.76,2022
28,298,98,2,1.5,2.5,7.5,1,0.44,2022
29,295,93,1,2,2,7.2,0,0.46,2022
30,310,99,2,1.5,2,7.3,0,0.54,2022
31,300,97,2,3,3,8.1,1,0.65,2022
32,327,103,3,4,4,8.3,1,0.74,2022
33,338,118,4,3,4.5,9.4,1,0.91,2022
34,340,114,5,4,4,9.6,1,0.9,2022
35,331,112,5,4,5,9.8,1,0.94,2022
36,320,110,5,5,5,9.2,1,0.88,2022
37,299,106,2,4,4,8.4,0,0.64,2022
38,300,105,1,1,2,7.8,0,0.58,2022
39,304,105,1,3,1.5,7.5,0,0.52,2022
40,307,108,2,4,3.5,7.7,0,0.48,2022
41,308,110,3,3.5,3,8,1,0.46,2022
42,316,105,2,2.5,2.5,8.2,1,0.49,2022
43,313,107,2,2.5,2,8.5,1,0.53,2022
44,332,117,4,4.5,4,9.1,0,0.87,2022
45,326,113,5,4.5,4,9.4,1,0.91,2022
46,322,110,5,5,4,9.1,1,0.88,2022
47,329,114,5,4,5,9.3,1,0.86,2022
48,339,119,5,4.5,4,9.7,0,0.89,2022
49,321,110,3,3.5,5,8.85,1,0.82,2022
50,327,111,4,3,4,8.4,1,0.78,2022
51,313,98,3,2.5,4.5,8.3,1,0.76,2022
52,312,100,2,1.5,3.5,7.9,1,0.56,2022
53,334,116,4,4,3,8,1,0.78,2022
54,324,112,4,4,2.5,8.1,1,0.72,2022
55,322,110,3,3,3.5,8,0,0.7,2022
56,320,103,3,3,3,7.7,0,0.64,2022
57,316,102,3,2,3,7.4,0,0.64,2022
58,298,99,2,4,2,7.6,0,0.46,2022
59,300,99,1,3,2,6.8,1,0.36,2022
60,311,104,2,2,2,8.3,0,0.42,2022
61,309,100,2,3,3,8.1,0,0.48,2022
62,307,101,3,4,3,8.2,0,0.47,2022
63,304,105,2,3,3,8.2,1,0.54,2022
64,315,107,2,4,3,8.5,1,0.56,2022
65,325,111,3,3,3.5,8.7,0,0.52,2022
