Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Year
1,326,115,4,4.5,4.5,8.71356375361478,1,0.92,2022
2,296,98,4,4.0,4.5,7.174594046801474,1,0.76,2022
3,292,95,3,3.0,3.5,6.79836014128074,1,0.72,2022
4,295,101,3,3.5,2.5,7.0160647040971655,1,0.8,2022
5,291,95,2,2.0,3.0,6.832066320563951,0,0.65,2022
6,305,109,5,4.5,3.0,7.873691185478082,1,0.9,2022
7,294,100,3,3.0,4.0,6.829954019345533,1,0.75,2022
8,290,94,2,3.0,4.0,6.788609122022462,0,0.68,2022
9,290,94,1,2.0,1.5,6.79836014128074,0,0.5,2022
10,295,99,3,3.5,3.0,6.974195524758032,0,0.45,2022
11,298,97,3,3.5,4.0,6.884894576042474,1,0.52,2022
12,300,102,4,4.0,4.5,7.315295803984812,1,0.84,2022
13,302,104,4,4.0,4.5,7.448097432752163,1,0.78,2022
14,290,100,3,4.0,3.0,6.79836014128074,1,0.62,2022
15,290,95,3,3.5,2.0,6.829954019345533,1,0.61,2022
16,291,96,3,3.5,2.5,6.853883764909968,0,0.54,2022
17,292,98,3,4.0,3.0,7.03598383698104,0,0.66,2022
18,293,97,3,4.0,3.0,6.79836014128074,1,0.65,2022
19,292,101,3,4.0,3.0,7.111871821525246,0,0.63,2022
20,290,94,3,3.5,3.0,6.924448588083471,0,0.62,2022
21,291,98,3,3.0,2.0,6.788609122022462,1,0.64,2022
22,298,107,4,3.0,2.0,6.884894576042474,0,0.7,2022
23,302,111,5,5.0,5.0,8.259963124403086,1,0.94,2022
24,315,118,5,5.0,4.5,8.88709748481022,1,0.95,2022
25,322,118,5,4.0,3.5,9.271269157302081,1,0.97,2022
26,340,120,5,4.5,4.5,8.551583652660169,1,0.94,2022
27,295,100,5,4.5,3.5,7.111871821525246,0,0.76,2022
28,290,93,2,1.5,2.5,6.772122647256915,1,0.44,2022
29,290,92,1,2.0,2.0,6.770153034291146,0,0.46,2022
30,290,93,2,1.5,2.0,6.770432501974651,0,0.54,2022
31,290,92,2,3.0,3.0,6.811819632171154,1,0.65,2022
32,300,95,3,4.0,4.0,6.853883764909968,1,0.74,2022
33,330,115,4,3.0,4.5,8.00779149097519,1,0.91,2022
34,340,107,5,4.0,4.0,8.551583652660169,1,0.9,2022
35,307,104,5,4.0,5.0,9.271269157302081,1,0.94,2022
36,293,101,5,5.0,5.0,7.605552108541642,1,0.88,2022
37,290,97,2,4.0,4.0,6.884894576042474,0,0.64,2022
38,290,96,1,1.0,2.0,6.781742953139279,0,0.58,2022
39,290,96,1,3.0,1.5,6.772122647256915,0,0.52,2022
40,290,99,2,4.0,3.5,6.777069554033389,0,0.48,2022
41,290,101,3,3.5,3.0,6.79836014128074,1,0.46,2022
42,292,96,2,2.5,2.5,6.829954019345533,1,0.49,2022
43,291,98,2,2.5,2.0,6.924448588083471,1,0.53,2022
44,310,113,4,4.5,4.0,7.448097432752163,0,0.87,2022
45,299,105,5,4.5,4.0,8.00779149097519,1,0.91,2022
46,295,101,5,5.0,4.0,7.448097432752163,1,0.88,2022
47,303,107,5,4.0,5.0,7.7909335060030145,1,0.86,2022
48,335,118,5,4.5,4.0,8.88709748481022,0,0.89,2022
49,294,101,3,3.5,5.0,7.155806520317965,1,0.82,2022
50,300,102,4,3.0,4.0,6.884894576042474,1,0.78,2022
51,291,93,3,2.5,4.5,6.853883764909968,1,0.76,2022
52,291,93,2,1.5,3.5,6.788609122022462,1,0.56,2022
53,315,111,4,4.0,3.0,6.79836014128074,1,0.78,2022
54,296,104,4,4.0,2.5,6.811819632171154,1,0.72,2022
55,295,101,3,3.0,3.5,6.79836014128074,0,0.7,2022
56,293,95,3,3.0,3.0,6.777069554033389,0,0.64,2022
57,292,94,3,2.0,3.0,6.771020858907713,0,0.64,2022
58,290,93,2,4.0,2.0,6.774017090713711,0,0.46,2022
59,290,93,1,3.0,2.0,6.770000000274909,1,0.36,2022
60,290,95,2,2.0,2.0,6.853883764909968,0,0.42,2022
61,290,93,2,3.0,3.0,6.811819632171154,0,0.48,2022
62,290,94,3,4.0,3.0,6.829954019345533,0,0.47,2022
63,290,96,2,3.0,3.0,6.829954019345533,1,0.54,2022
64,291,98,2,4.0,3.0,6.924448588083471,1,0.56,2022
65,298,102,3,3.0,3.5,7.03598383698104,0,0.52,2022
66,298,104,4,3.5,3.5,7.224774353627053,0,0.55,2022
67,300,107,3,3.0,3.0,7.340032023619145,0,0.61,2022
68,292,98,2,3.5,3.5,6.997355439939107,1,0.57,2022
69,292,100,3,3.5,4.0,7.640284701508356,1,0.68,2022
70,302,109,4,4.5,4.0,7.539408425689152,1,0.78,2022
71,310,115,5,5.0,5.0,8.680262463682952,1,0.94,2022
72,322,104,5,5.0,5.0,9.11144297169789,1,0.96,2022
73,294,102,5,5.0,5.0,8.129211766157123,1,0.93,2022
74,291,99,4,4.5,4.0,7.365656445385165,1,0.84,2022
75,291,97,3,3.0,5.0,7.204138720689555,0,0.74,2022
76,303,107,2,2.0,4.0,6.95295987936389,1,0.72,2022
77,300,104,3,3.0,3.0,7.049963776231632,1,0.74,2022
78,290,93,2,3.0,2.0,6.834237647612747,0,0.64,2022
79,290,92,2,3.0,2.0,6.772766898056234,1,0.44,2022
80,290,92,1,1.5,2.0,6.770736908049351,0,0.46,2022
81,291,96,3,2.0,3.0,6.8007265637688175,1,0.5,2022
82,340,120,4,5.0,5.0,8.259963124403086,1,0.96,2022
83,293,101,5,5.0,4.5,7.640284701508356,1,0.92,2022
84,295,109,5,4.0,4.5,7.917032095832215,1,0.92,2022
85,340,109,5,4.5,4.5,8.129211766157123,1,0.94,2022
86,293,95,4,4.5,3.5,7.009696645954694,0,0.76,2022
87,291,97,3,4.5,3.5,6.892071903128496,0,0.72,2022
88,292,98,2,3.5,3.0,6.848574942960521,0,0.66,2022
89,291,99,3,4.5,3.5,6.818453224670745,0,0.64,2022
90,292,100,4,4.5,3.5,7.079683873862647,1,0.74,2022
91,292,97,2,4.0,4.0,6.790304147598801,1,0.64,2022
92,290,92,3,5.0,3.5,6.775682297439233,0,0.38,2022
93,290,93,2,4.0,3.0,6.801967488205503,0,0.34,2022
94,290,92,2,3.0,3.0,6.787029069517822,1,0.44,2022
95,290,93,3,2.0,2.5,6.775682297439233,0,0.36,2022
96,290,93,4,1.5,2.5,6.784190346916335,0,0.42,2022
97,290,93,2,3.0,3.0,6.79836014128074,0,0.48,2022
98,307,120,3,4.0,4.0,7.268395443467467,1,0.86,2022
99,310,118,4,5.0,4.5,7.6761609735000125,1,0.9,2022
100,295,105,3,4.0,4.0,7.184257917216584,1,0.79,2022
101,295,98,3,3.5,3.5,6.907500548660829,1,0.71,2022
102,291,96,2,2.5,3.0,6.815038952342137,0,0.64,2022
103,291,97,2,4.0,3.5,6.841118119729049,0,0.62,2022
104,292,95,2,4.5,4.0,6.911590933701602,0,0.57,2022
105,299,104,3,3.5,3.0,7.378809104614318,1,0.74,2022
106,292,101,3,4.0,4.5,7.095460118230292,1,0.69,2022
107,303,102,4,4.5,4.5,7.571935700624018,1,0.87,2022
108,330,113,4,3.5,4.5,8.154598984725716,1,0.91,2022
109,307,111,5,5.0,5.0,7.961721812329335,1,0.93,2022
110,290,95,5,5.0,4.0,6.997355439939107,0,0.68,2022
111,290,99,5,3.0,3.0,6.915777934021025,0,0.61,2022
112,294,100,4,4.0,4.0,7.022567177590025,1,0.69,2022
113,290,98,3,3.5,3.5,6.865360554004358,1,0.62,2022
114,293,101,2,4.0,3.5,6.95295987936389,0,0.72,2022
115,290,96,3,3.5,3.0,6.903505101453517,1,0.59,2022
116,290,97,4,4.5,4.5,7.365656445385165,1,0.66,2022
117,290,94,3,4.0,3.5,6.985527103824613,0,0.56,2022
118,290,95,4,2.0,2.5,6.771604256424479,0,0.45,2022
119,290,93,2,3.0,3.5,6.770357257767541,0,0.47,2022
120,300,95,5,3.0,3.5,7.146677796797838,1,0.71,2022
121,319,113,5,5.0,5.0,8.429924184816201,1,0.94,2022
122,315,118,5,4.5,4.5,8.206509596443734,1,0.94,2022
123,290,97,4,1.5,2.5,6.871551029147502,0,0.57,2022
124,290,99,3,3.5,3.5,6.834237647612747,0,0.61,2022
125,290,97,4,2.5,3.0,6.911590933701602,0,0.57,2022
126,290,93,3,2.0,3.0,7.009696645954694,1,0.64,2022
127,295,105,3,4.0,3.0,7.831668395330005,1,0.85,2022
128,293,104,3,2.5,2.0,7.042902310849709,1,0.78,2022
129,299,104,3,3.5,3.0,7.448097432752163,1,0.84,2022
130,312,115,5,5.0,5.0,7.895194968734362,1,0.92,2022
131,335,107,5,4.0,4.5,9.11144297169789,1,0.96,2022
132,290,96,5,5.0,4.5,7.003460913804386,0,0.77,2022
133,290,96,5,3.5,3.5,6.95295987936389,0,0.71,2022
134,295,104,5,4.0,4.5,7.095460118230292,0,0.79,2022
135,312,105,5,4.0,4.0,7.751456761146375,1,0.89,2022
136,291,100,4,3.5,4.0,7.0874937339732815,1,0.82,2022
137,291,95,3,5.0,4.0,6.903505101453517,0,0.76,2022
138,292,93,2,1.5,3.0,6.8220711484505445,1,0.71,2022
